STATCD,STATNAME,OVERALL_LI,ROAD1,ROAD2,ROAD3,ROAD4,ROAD5,ROAD6,ROAD7,ROADTOT,SPLAY1,SPLAY2,SPLAY3,SPLAY4,SPLAY5,SPLAY6,SPLAY7,SPLAYTOT,SBNDR1,SBNDR2,SBNDR3,SBNDR4,SBNDR5,SBNDR6,SBNDR7,SBNDRTOT,SGTOIL1,SGTOIL2,SGTOIL3,SGTOIL4,SGTOIL5,SGTOIL6,SGTOIL7,SGTOILTOT,SBTOIL1,SBTOIL2,SBTOIL3,SBTOIL4,SBTOIL5,SBTOIL6,SBTOIL7,SBTOILTOT,SWAT1,SWAT2,SWAT3,SWAT4,SWAT5,SWAT6,SWAT7,SWATTOT,SELE1,SELE2,SELE3,SELE4,SELE5,SELE6,SELE7,SELETOT,SCOMP1,SCOMP2,SCOMP3,SCOMP4,SCOMP5,SCOMP6,SCOMP7,SCOMPTOT,SRAM1,SRAM2,SRAM3,SRAM4,SRAM5,SRAM6,SRAM7,SRAMTOT,SRAMN1,SRAMN2,SRAMN3,SRAMN4,SRAMN5,SRAMN6,SRAMN7,SRAMNTOT,MDM1,MDM2,MDM3,MDM4,MDM5,MDM6,MDM7,MDMTOT,KIT1,KIT2,KIT3,KIT4,KIT5,KIT6,KIT7,KITTOT,KITS1,KITS2,KITS3,KITS4,KITS5,KITS6,KITS7,KITSTOT
1,JAMMU & KASHMIR,68.74,10772,8406,469,124,86,2386,391,22634,3195,4518,452,44,75,2080,240,10604,3011,4072,435,61,63,1806,262,9710,13323,9863,479,125,92,2662,390,26934,12721,9624,471,34,91,2574,372,25887,13097,9521,484,126,92,2641,401,26362,2142,2910,472,59,90,2117,288,8078,601,2094,438,15,72,1545,151,4916,1049,1804,68,11,38,590,186,3746,1988,2716,102,26,41,846,237,5956,13147,8006,75,104,77,1391,401,23201,7150,6229,65,56,57,1207,310,15074,11917,7743,74,97,76,1377,390,21674
2,HIMACHAL PRADESH,83.78,8960,773,562,1715,1490,669,760,14929,9449,768,550,1661,1558,667,803,15456,7283,545,486,1326,1230,511,635,12016,11294,798,563,2116,1613,681,884,17949,11278,796,562,2110,1594,684,874,17898,11314,798,565,2120,1634,684,884,17999,10097,787,564,1788,1624,682,859,16401,534,643,541,399,1441,649,473,4680,6966,82,77,1201,1132,71,628,10157,7618,239,156,1350,1194,194,670,11421,10709,1,1,2127,1613,0,880,15331,10081,0,0,1788,1550,0,849,14268,10626,1,0,2012,1604,0,874,15117
3,PUNJAB,76.68,14317,2551,2581,2858,1751,2725,1867,28650,13952,2338,2540,2831,1741,2604,1847,27853,14135,2528,2568,2814,1742,2700,1830,28317,14237,2570,2588,2853,1654,2739,1841,28482,14202,2557,2566,2827,1548,2733,1783,28216,14369,2580,2593,2864,1754,2742,1869,28771,14361,2575,2592,2864,1754,2742,1869,28757,1326,2251,2558,2720,1750,2665,1866,15136,2275,329,363,549,454,359,462,4791,2488,435,482,593,487,515,490,5490,13195,42,187,2860,1701,60,1856,19901,12020,28,113,2574,1565,38,1704,18042,12352,33,144,2660,1593,49,1734,18565
4,CHANDIGARH,86.43,12,29,85,0,5,70,0,201,7,25,83,0,5,67,0,187,12,29,85,0,5,70,0,201,12,29,84,0,5,70,0,200,12,29,82,0,5,70,0,198,12,29,85,0,5,70,0,201,12,29,85,0,5,70,0,201,6,27,85,0,5,67,0,190,4,10,44,0,2,34,0,94,4,12,47,0,2,41,0,106,7,12,43,0,2,52,0,116,0,0,5,0,0,2,0,7,0,0,5,0,0,2,0,7
5,UTTARAKHAND,79.63,11551,1514,478,2581,1311,161,618,18214,8631,1325,465,1862,926,144,415,13768,12659,1370,480,2776,1009,159,652,19105,14974,1565,484,3329,1485,161,868,22866,15048,1556,461,3235,1449,159,818,22726,14916,1568,487,3267,1569,164,865,22836,9596,1437,483,2575,1525,162,736,16514,1993,1236,470,1968,1504,151,588,7910,3176,130,59,633,218,17,155,4388,3651,175,81,781,282,24,196,5190,12473,22,38,2917,1462,7,818,17737,11102,17,27,2462,1299,5,732,15644,12453,22,37,2910,1458,7,813,17700
6,HARYANA,76.64,9744,2190,2305,2367,1904,1897,1417,21824,7923,1944,2252,1957,1717,1761,1226,18780,9676,2203,2326,2306,1899,1914,1416,21740,9412,2229,2324,2380,1763,1924,1358,21390,9291,2234,2310,2153,1621,1922,1257,20788,9979,2235,2329,2423,1923,1926,1437,22252,9640,2232,2329,2264,1911,1926,1424,21726,785,1737,2236,741,1868,1706,1377,10450,3135,479,678,818,883,394,560,6947,3446,567,731,922,954,445,639,7704,8911,2,56,2405,1857,19,1392,14642,5785,2,32,1664,1520,9,1080,10092,7694,2,53,2058,1645,17,1232,12701
7,DELHI,86.34,2755,904,1135,35,545,260,117,5751,2294,816,1074,25,495,236,86,5026,2728,904,1131,35,545,260,117,5720,2185,899,1028,27,272,253,71,4735,2189,902,1002,27,362,256,83,4821,2755,904,1135,35,545,260,117,5751,2750,902,1135,35,545,260,117,5744,2209,848,1018,11,413,251,75,4825,1977,562,896,21,485,177,100,4218,1977,562,896,21,485,177,100,4218,1766,15,533,30,533,29,111,3017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,RAJASTHAN,67.06,27187,32150,14138,191,1093,9862,370,84991,15141,21515,10961,149,861,7611,220,56458,28422,34711,14494,213,1116,10274,377,89607,42318,37384,15270,227,1148,10815,393,107555,42038,36444,15051,52,995,10617,307,105504,40171,36757,15102,213,1164,10712,393,104512,8058,26426,14043,204,1139,9415,377,59662,2515,12259,10037,179,933,6082,279,32284,11725,11480,4847,89,357,2690,99,31287,18118,17611,7971,131,612,4781,193,49417,34854,20815,8324,163,640,3953,194,68943,25699,16605,6184,139,374,2953,110,52064,32409,19401,7826,160,549,3604,167,64116
9,UTTAR PRADESH,69.72,149492,11638,2440,61510,7701,901,2612,236294,107899,9381,1739,46518,5453,640,1807,173437,110044,10881,2501,41153,7843,917,2703,176042,155060,12034,2489,63161,7675,946,2809,244174,154846,11972,2300,61259,7353,931,2723,241384,154096,12076,2588,62104,8117,958,2838,242777,56258,8784,2206,23047,6573,734,2066,99668,10392,3613,1466,10900,4551,347,762,32031,35539,1768,942,13149,3128,291,1055,55872,40522,2183,1083,15549,3709,328,1236,64610,113668,282,369,47636,2107,30,279,164371,91710,151,212,35320,1200,15,163,128771,108770,244,292,45130,1739,22,240,156437
10,BIHAR,63.82,36111,29547,854,270,89,2058,233,69162,10929,14797,667,154,73,1509,166,28295,16481,22668,755,218,78,1759,163,42122,36582,31703,891,276,85,2199,220,71956,36262,31143,877,272,73,2197,176,71000,39201,32521,926,290,91,2271,244,75544,9124,16739,569,127,78,1228,98,27963,1030,4236,272,34,61,410,42,6085,7870,9032,247,101,24,758,39,18071,9376,10125,290,105,38,846,61,20841,39941,26562,468,278,24,1787,80,69140,20658,18598,347,201,15,1343,34,41196,38052,25320,461,273,24,1723,75,65928
